TUGASAN/20,Total_CPS3,AKHIR/40,PENILAIAN/20,Total_CPS7,PROJEK/20,Total_CPS9,TotalMarks,Fr_Assignment,Fr_Chat,Fr_Choice,Fr_File,Fr_File submissions,Fr_Folder,Fr_Forum,Fr_LTI,Fr_Online text submissions,Fr_Overview report,Fr_Quiz,Fr_Survey,Fr_System,Fr_URL,Fr_User report,totFreqParticipation
18.4,18.4,8,16.5,24.5,17.7,17.7,60.6,5,0,1,21,0,3,2,0,0,0,80,0,45,4,0,161
14.1,14.1,15,13,28,9.9,9.9,52,0,0,0,19,0,1,3,0,0,0,39,0,32,1,0,95
18.4,18.4,7,13,20,17.7,17.7,56.1,10,8,4,24,0,6,5,2,0,1,150,3,137,5,3,358
11.4,11.4,29.5,6,35.5,15.5,15.5,62.4,16,12,6,54,0,7,18,1,0,0,103,3,147,17,0,384
11.4,11.4,14,14,28,15.5,15.5,54.9,14,21,5,33,4,2,16,0,2,0,64,2,119,5,0,287
14.9,14.9,31.5,20,51.5,17.8,17.8,84.2,44,13,5,62,6,2,55,1,2,0,160,1,259,11,0,621
14.9,14.9,33.5,19,52.5,17.8,17.8,85.2,33,3,0,41,8,4,29,0,2,0,118,2,154,12,0,406
11.4,11.4,27,11.5,38.5,15.5,15.5,65.4,4,10,4,39,0,3,33,3,0,0,187,2,124,7,0,416
18.2,18.2,35.5,18.5,54,17.1,17.1,89.3,48,9,1,32,12,0,30,0,6,0,142,1,125,13,0,419
14.1,14.1,13,8.5,21.5,9.9,9.9,45.5,3,0,0,18,0,0,1,0,0,0,28,0,15,4,0,69
14.1,14.1,14,10.5,24.5,9.9,9.9,48.5,2,0,3,33,0,2,0,1,0,0,40,0,61,6,0,148
10.4,10.4,20.5,15,35.5,7,7,52.9,4,0,3,26,0,4,4,0,0,0,54,1,68,1,0,165
18.2,18.2,23,16,39,17.1,17.1,74.3,40,7,0,45,8,4,55,4,4,0,134,0,159,6,0,466
18.4,18.4,27,18.5,45.5,17.7,17.7,81.6,47,4,0,78,10,1,40,0,8,0,79,0,142,13,1,423
18.2,18.2,37,17,54,17.1,17.1,89.3,54,9,4,77,12,9,30,0,8,0,166,2,262,4,0,637
14.1,14.1,14,13.5,27.5,9.9,9.9,51.5,28,0,5,51,2,1,1,0,2,0,277,3,126,10,0,506
10.4,10.4,9,8,17,7,7,34.4,18,1,1,27,2,3,5,0,2,0,7,0,65,2,0,133
18.4,18.4,27,17.5,44.5,17.7,17.7,80.6,41,20,1,66,6,5,45,1,2,0,176,2,173,14,0,552
14.9,14.9,28,16.5,44.5,17.8,17.8,77.2,55,16,4,43,12,6,38,0,8,0,257,1,199,8,0,647
10.4,10.4,19.5,10.5,30,7,7,47.4,27,31,3,34,0,4,19,2,0,0,70,1,139,4,0,334
15.4,15.4,12,11.5,23.5,14.6,14.6,53.5,1,2,0,25,0,1,33,1,0,0,157,0,118,2,0,340
10.4,10.4,20.5,11,31.5,7,7,48.9,7,0,0,34,0,2,0,0,0,0,7,0,30,1,0,81
15.4,15.4,25,11,36,14.6,14.6,66,18,10,5,66,2,3,12,2,2,0,73,0,128,6,0,327
16.7,16.7,32.5,13.5,46,16.6,16.6,79.3,8,11,2,59,0,1,3,2,0,1,95,0,129,5,7,323
18.2,18.2,4,16.5,20.5,16.5,16.5,55.2,7,18,0,14,2,1,20,3,0,3,90,0,50,8,4,220
18.2,18.2,16,11,27,16.5,16.5,61.7,0,7,0,19,0,1,10,0,0,0,13,1,37,0,0,88
18.2,18.2,2.5,16,18.5,16.5,16.5,53.2,11,12,0,12,2,0,19,1,2,0,103,0,63,0,6,231
18.2,18.2,4,11,15,16.5,16.5,49.7,2,14,0,16,0,2,17,1,0,0,5,0,40,0,2,99
14.3,14.3,18,12,30,17.8,17.8,62.1,8,5,0,42,2,0,16,1,2,0,104,0,70,0,0,250
14.3,14.3,19,15,34,17.8,17.8,66.1,10,1,1,22,2,3,18,0,0,0,87,1,53,0,1,199
14.3,14.3,33,14,47,17.8,17.8,79.1,7,2,0,25,2,1,25,0,0,0,124,0,75,1,0,262
16.7,16.7,17,10,27,16.6,16.6,60.3,8,3,1,22,4,3,2,0,2,0,69,0,71,3,0,188
16.7,16.7,14.5,11,25.5,16.6,16.6,58.8,10,0,1,26,4,2,8,0,0,0,67,1,43,4,0,166
16.7,16.7,17,11,28,16.6,16.6,61.3,6,0,0,15,0,1,12,0,0,0,37,0,40,3,0,114
